"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05345990","Treatment of Patients With Chronic Hepatitis B With Hepatitis B Immunoglobulins","HBIG","Recruiting","No Results Available","Chronic Hepatitis B","Drug: Human hepatitis B Immunoglobulin (Hepatect®CP/Zutectra®)","To evaluate the efficacy of 12-weeks treatment with hepatitis B immunoglobulins in two different cohorts of patients with chronic hepatitis B defined by the proportion of subjects being HBsAg negative at treatment week 12|To analyze the change/decline of HBsAg during treatment|To evaluate the post-treatment HBsAg kinetics/response|To determine HBV-DNA levels during and after treatment with hepatitis B immunoglobulins|To evaluate the biochemical disease activity (normalization of serum ALT levels)|To determine the quality of life by SF-36 questionnaire|Assessment of safety by collection of adverse events (AEs) as frequencies (absolute/relative).","Hannover Medical School|Biotest","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HBIGforcure|2021-005362-18","August 15, 2022","November 2024","May 2025","April 26, 2022",,"October 10, 2023","Hannover Medical School, Department for Gastroenterology, Hepatology and Endocrinology, Hannover, Lower Saxony, Germany",,"https://ClinicalTrials.gov/show/NCT05345990"
2,"NCT02964910","A Phase Ⅳ Clinical Trial of the Recombinant Hepatitis E Vaccine (Escherichia Coli)(the Chronic Hepatitis B Patients )",,"Completed","Has Results","Hepatitis E","Biological: Recombinant Hepatitis E Vaccine (Escherichia Coli)","Number of Participants Whose Anti-HEV Antibody Seroconverted at One Month After The Third Dose|Geometric Mean Concentrations of Anti-HEV Antibody at One Month After The Third Dose|Number of Participants With Changes in Liver Function Index Before and One Month After the First Dose|Number of Participants With Changes in Liver Function Index Before and One Month After the Third Dose|Number of Participants With Changes in Liver Function Index Before The First Dose and One Month After the Third Dose|Number of Participants Who Experienced Any Adverse Reactions/Events|Number of Participants Who Experienced Solicited Adverse Reactions/Events|Number of Participants Who Experienced Solicited Local Adverse Reactions/Events|Number of Participants Who Experienced Solicited System Adverse Reactions/Events|Number of Participants Who Experienced Unsolicited Adverse Reactions/Events","Xiamen Innovax Biotech Co., Ltd","All","30 Years and older   (Adult, Older Adult)","Phase 4","475","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO-HE-009","August 2016","August 2017","December 2017","November 16, 2016","July 25, 2019","July 25, 2019","Rushan Center for Disease Control and Prevention, Weihai, Shandong, China","""Study Protocol and Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/10/NCT02964910/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02964910"
3,"NCT04188223","Safety and Immunogenicity Following Recombinant Hepatitis B (Bio Farma) Vaccine in Adults & Children",,"Completed","No Results Available","Hepatitis B","Biological: Recombinant Hepatitis B (Bio Farma) Vaccine|Biological: Recombinant Hepatitis B (Bio Farma) Vaccine®","Number of subjects with Immediate reaction|percentage of subjects with Immediate reaction|Number of subjects with Adverse Events from 1 day to 28 days after vaccination|Percentage of subjects with Adverse Events from 1 day to 28 days after vaccination|Number of subjects with Serious Adverse Events from 1 day to 28 days after vaccination|Percentage of subjects with serious Adverse Events from 1 day to 28 days after vaccination|Number of Lab Deviation for adults subjects in 7 days of immunization|Safety Comparison between each intervention group|Protectivity of Hepatitis B vaccine (number of subject with protective anti HbsAg)|Protectivity of Hepatitis B vaccine (4 times increasing antibody)|Protectivity of Hepatitis B vaccine (Geometic Mean Titers)|Anti-HBs description between groups","PT Bio Farma","All","10 Years to 40 Years   (Child, Adult)","Phase 1","100","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","Hep B 0119","December 3, 2019","July 16, 2020","July 16, 2020","December 5, 2019",,"August 1, 2022","Hasan Sadikin Hospital, Bandung, West Java, Indonesia",,"https://ClinicalTrials.gov/show/NCT04188223"
4,"NCT03219203","Immunologic Response of Hepatitis B Vaccine",,"Unknown status","No Results Available","Hepatitis B","Biological: Hepatitis B vaccine","Immunologic response to single dose versus 3-dose series of HBV vaccination in HIV-infected adults|Anamnestic response at week 4|Percentage of responders (with anti-HBs Ab ≥ 10 mIU/mL) at month 12|Intensity and frequency of vaccine adverse event (AE)","Chiang Mai University","All","18 Years to 25 Years   (Adult)","Phase 4","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","4564","July 1, 2017","July 1, 2018","October 1, 2018","July 17, 2017",,"July 17, 2017","Maharaj Nakorn Chiang Mai Hospital, Department of medicine, Chiang Mai University, Muang, Chiang Mai, Chiang Mai, Thailand",,"https://ClinicalTrials.gov/show/NCT03219203"
5,"NCT05404919","Utilization of Hepatitis B Virus NAT+ Donors for Hepatitis B Vaccinated Lung Transplant Candidates","INHIBITOR","Recruiting","No Results Available","Lung Transplant|Hepatitis B","Drug: Hepatitis B Immune Globulin and entecavir, tenofovir disoproxil, or tenofovir alafenamide","Rate of HBV viremia|Time to undetectable HV DNA|Rate of acute HBV-associated hepatitis|Rate of persistent HBV surface antigen positivity|One year patient survival|One year graft survival","University of Pennsylvania","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","851257","September 6, 2022","August 2025","August 2032","June 3, 2022",,"October 4, 2023","Hospital of University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT05404919"
6,"NCT04503993","Healthy Planet Hepatitis B",,"Completed","No Results Available","Hepatitis B","Other: Hepatitis B surface antigen, Hepatitis B core antibody, and Hepatitis B surface antibody","Completion of hepatitis B order panel|Linkage to care of those found to be infected with hepatitis B","University of California, Davis","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","5004","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","1423112","February 25, 2020","July 24, 2021","December 31, 2021","August 7, 2020",,"May 10, 2022","UC Davis Medical Center, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT04503993"
7,"NCT03316313","Hepatitis C Screening in the Primary Care Setting",,"Completed","No Results Available","Hepatitis C","Diagnostic Test: Hepatitis C Antibody","Number of Patients Screened for Hepatitis C","New York Institute of Technology","All","50 Years to 71 Years   (Adult, Older Adult)",,"503","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","BHS-1194","June 2016","October 2016","April 2017","October 20, 2017",,"November 19, 2018",,,"https://ClinicalTrials.gov/show/NCT03316313"
8,"NCT02316444","Strategies for the Prevention of Hepatitis B Among HIV Infected Patients in Uganda",,"Completed","No Results Available","HIV/AIDS and Infections","Biological: Hepatitis B vaccine","Hepatitis B virus (HBV) vaccine response|Loss to follow-up (HAART naive vs. HAART exposed individuals)","Fred Hutchinson Cancer Center|Makerere University|Uganda Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Phase 4","132","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","U010","November 2015","April 28, 2017","April 28, 2017","December 12, 2014",,"January 25, 2019","Mulago National referral hospital, Kampala, Uganda",,"https://ClinicalTrials.gov/show/NCT02316444"
9,"NCT04405024","Pilot Study on the Feasibility of Systematic Hepatitis C Screening of Hospitalized Patients","HOSPI-VHC","Recruiting","No Results Available","Hepatitis C","Diagnostic Test: Hepatitis C testing","potential patient versus|HCV positive|Follow-up|Polymerase chain reaction (PCR)|Viral risk factor|hepatic fibrosis|treatment initiation","Centre Hospitalier Intercommunal Creteil|Association Nationale des Hépato-Gastroentérologues des Hôpitaux Généraux","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2500","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","HOSPI-VHC|2019-A03309-48","September 21, 2020","June 21, 2024","August 21, 2024","May 28, 2020",,"October 31, 2023","CHI Créteil, Créteil, France|Grand Hôpital de l'Est Francilien - Site de Marne-la-Vallée, Jossigny, France|CH Meaux, Meaux, France|CHIV, Villeneuve-Saint-Georges, France",,"https://ClinicalTrials.gov/show/NCT04405024"
10,"NCT03149874","Accelerated Vaccination Schedule Against Hepatitis B Virus With Combined Hepatitis A and B Vaccine Among Hemodialysis Patients",,"Completed","No Results Available","Hepatitis B|Hemodialysis Complication","Drug: Hepatitis B recombinant DNA vaccine|Drug: Combined hepatitis A and B vaccine","Hepatitis B virus Seroprotection after one month|Hepatitis B virus Seroprotection after three months|Fever|Pain scale","Benha University|New Jeddah Clinic Hospital","All","19 Years and older   (Adult, Older Adult)","Not Applicable","114","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","BN-0517","December 1, 2014","April 30, 2017","May 1, 2017","May 11, 2017",,"February 8, 2023",,,"https://ClinicalTrials.gov/show/NCT03149874"
